,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
173,0,2,1,27,0,0,41,2
174,0,0,1,73,0,0,156,0
175,0,2,1,23,1,1,36,2
176,0,2,1,39,3,1,134,2
177,0,0,0,66,0,0,149,0
178,0,1,1,40,0,0,85,2
179,0,2,1,49,0,0,0,2
180,0,2,0,39,6,2,205,2
181,0,1,1,39,0,0,99,0
182,0,2,1,13,4,2,159,2
183,1,1,1,5,2,1,172,2
184,1,2,0,8,0,2,126,2
185,0,0,1,39,0,0,183,2
186,1,2,0,39,1,0,102,1
187,1,0,1,60,0,0,143,2
188,0,2,1,54,1,1,102,1
189,0,2,1,49,0,0,40,2
190,1,1,0,43,0,0,85,2
191,0,1,1,24,0,0,85,2
192,1,2,0,24,1,0,36,2
193,1,1,1,7,1,1,138,2
194,1,0,0,59,0,0,145,0
195,1,0,0,75,0,0,236,0
196,0,2,1,39,0,0,30,1
197,0,2,1,57,0,1,49,2
198,1,2,0,39,0,0,30,1
199,0,1,0,31,0,0,85,2
200,0,2,1,36,0,0,64,2
201,0,2,1,39,6,2,205,2
202,0,2,1,46,0,0,6,2
203,0,2,1,61,0,0,16,0
204,1,2,1,23,0,0,43,2
205,0,2,0,6,0,1,71,2
206,0,2,1,43,1,0,106,2
207,1,2,1,34,0,0,115,0
208,1,2,0,21,0,0,30,1
209,1,0,1,54,0,0,157,0
210,0,2,1,31,0,0,12,2
211,1,1,0,48,0,0,123,2
212,0,2,1,28,0,0,18,2
213,0,1,1,40,0,0,85,2
214,0,2,1,39,1,0,30,1
215,1,0,0,42,1,0,231,0
216,1,2,0,35,0,0,41,2
217,0,1,1,57,1,0,144,2
218,1,0,0,43,0,0,210,0
219,0,1,1,40,0,0,72,2
220,1,2,1,21,0,0,43,2
221,0,1,1,35,0,0,85,2
222,0,2,1,67,0,0,43,2
223,0,2,1,39,0,0,40,2
224,1,0,1,52,1,0,225,2
225,0,2,1,28,0,0,61,2
226,1,1,1,24,0,0,72,2
227,0,2,1,26,0,0,18,2
228,0,1,1,23,0,0,85,2
229,0,2,0,39,3,1,134,2
230,1,0,0,48,1,0,222,2
231,0,2,1,38,0,0,31,2
232,0,1,1,76,0,0,87,2
233,1,2,0,9,4,2,159,2
234,0,1,1,31,0,0,72,2
235,0,2,0,39,0,0,22,2
236,0,1,1,59,1,0,138,2
237,1,1,0,12,0,2,139,2
238,0,1,1,24,0,0,72,2
239,0,1,1,45,0,0,78,2
240,0,2,0,39,1,0,94,0
241,1,2,0,39,1,0,102,1
242,0,1,1,38,0,0,72,2
243,0,2,1,28,0,0,14,2
244,0,2,1,40,0,0,16,0
245,0,0,1,59,2,0,225,1
246,0,2,0,33,0,0,31,2
247,1,1,0,31,0,2,96,2
248,1,0,1,51,1,1,188,2
249,0,1,1,70,1,0,138,2
250,0,2,1,39,0,0,18,2
251,0,2,0,38,1,1,71,2
252,0,0,1,79,0,0,143,2
253,0,2,1,40,1,0,109,2
254,0,2,0,56,0,2,119,2
255,1,2,0,38,0,2,101,0
256,1,0,0,39,0,0,216,0
257,1,0,0,40,0,0,223,2
258,1,0,0,48,0,0,247,0
259,1,1,0,66,0,1,138,2
260,0,2,1,39,0,0,30,1
261,1,2,1,7,4,2,159,2
262,0,0,1,68,1,1,217,2
263,0,0,1,54,0,0,0,2
264,0,2,0,39,0,0,30,1
265,0,1,1,49,0,0,72,2
266,0,2,1,21,4,1,175,2
267,1,2,1,33,1,0,31,2
268,1,0,0,75,0,1,238,2
269,1,0,0,48,0,0,235,2
270,0,0,1,39,0,0,157,2
271,1,2,1,33,0,0,0,2
272,1,1,0,56,0,1,117,2
273,0,0,1,51,0,1,152,0
274,1,2,0,39,0,0,30,1
275,1,0,0,80,1,0,213,2
276,0,2,0,60,0,0,30,2
277,0,1,1,39,0,0,0,2
278,0,2,1,11,4,1,151,1
279,1,2,0,48,1,1,120,2
280,0,2,1,82,0,0,30,1
281,0,2,1,36,0,0,36,2
282,0,2,1,21,0,0,64,2
283,1,2,1,24,0,0,43,2
284,0,0,1,39,0,0,138,2
285,0,2,1,45,0,0,54,0
286,1,2,1,40,0,0,64,2
287,0,2,1,28,0,0,40,2
288,1,1,1,57,0,0,85,2
289,1,2,0,28,0,0,30,1
290,1,0,0,34,0,0,215,2
291,1,0,0,24,1,0,226,0
292,0,1,1,49,0,0,84,0
293,0,2,0,31,0,0,57,2
294,0,2,1,31,0,0,40,2
295,0,0,1,39,0,0,145,0
296,0,2,1,30,0,0,17,0
297,0,0,0,6,1,2,237,2
298,1,0,1,39,0,0,155,2
299,1,0,0,66,0,1,244,0
300,1,2,0,39,0,0,30,1
301,1,2,1,39,2,0,130,1
302,0,2,1,24,0,0,0,2
303,1,1,0,39,0,0,80,1
304,0,2,1,39,0,0,43,2
305,1,0,1,4,1,2,237,2
306,1,0,0,39,0,0,230,0
307,1,0,0,22,1,0,229,0
308,0,1,1,40,1,0,132,0
309,1,0,0,40,0,0,194,0
310,1,0,0,31,0,0,221,0
311,1,0,0,23,2,2,245,0
312,0,1,0,34,1,1,138,2
313,0,2,1,36,0,0,40,2
314,0,1,1,58,1,1,139,2
315,1,2,0,34,0,0,36,2
316,1,1,0,31,1,0,138,2
317,0,1,1,70,0,0,91,2
318,1,0,0,42,0,2,239,2
319,1,0,0,54,1,1,234,0
320,0,2,1,28,0,0,18,2
321,0,2,1,35,0,0,40,2
322,1,1,0,40,0,0,80,1
323,1,1,0,28,1,1,150,2
324,0,2,1,39,6,2,205,2
325,1,0,0,49,0,0,235,0
326,0,2,1,78,0,0,3,2
327,1,1,0,49,0,0,85,2
328,1,2,0,42,1,1,121,2
329,1,0,0,21,0,1,196,0
330,1,2,0,39,2,0,130,1
331,0,0,1,61,0,0,148,2
332,0,0,1,52,0,1,238,2
333,0,2,1,21,2,0,113,2
334,1,0,0,39,1,0,233,2
335,0,2,1,39,0,0,40,2
336,0,0,1,38,1,0,203,2
337,1,0,0,56,0,0,234,0
338,1,2,1,60,0,0,43,2
339,0,0,1,60,0,0,168,2
340,1,1,1,6,1,1,138,2
341,1,0,0,31,3,2,246,2
342,0,1,1,36,0,0,85,2
343,0,1,1,33,0,0,85,2
344,0,1,1,49,0,0,85,2
345,1,1,0,31,0,0,85,2
346,1,1,0,54,0,0,85,2
347,1,2,0,39,1,0,109,2
348,1,2,1,7,1,1,107,2
349,0,2,1,57,0,0,54,2
350,0,2,1,29,0,0,60,2
351,0,0,1,39,0,0,167,2
352,0,2,1,20,1,1,17,0
353,0,2,1,33,1,0,112,2
354,0,2,1,39,0,0,16,0
355,0,2,1,36,0,0,64,2
356,1,0,0,28,0,1,190,2
357,0,1,0,52,0,0,85,2
358,1,2,0,39,0,0,38,1
359,1,2,0,39,0,0,38,1
360,0,2,1,54,1,4,147,2
361,0,1,1,38,1,0,145,0
362,0,2,0,60,0,1,94,0
363,0,2,1,48,0,0,12,2
364,0,2,1,39,1,0,102,1
365,0,2,1,40,0,0,18,2
366,1,0,0,77,1,0,209,0
367,1,2,0,39,0,0,17,0
368,1,2,0,39,0,0,30,1
369,1,0,0,31,0,0,204,0
370,1,0,1,33,1,0,191,0
371,0,2,1,23,1,0,6,2
372,0,2,1,24,0,0,43,2
373,0,0,1,28,0,0,235,0
374,0,2,0,7,3,1,124,2
375,1,0,0,39,1,0,220,0
376,1,2,0,28,0,0,18,2
377,0,0,1,35,0,2,241,0
378,0,2,1,25,0,0,1,0
379,0,2,1,24,0,0,31,2
380,1,0,0,57,0,0,243,0
381,1,2,0,5,0,2,104,0
382,0,2,1,43,0,0,41,2
383,1,0,0,48,1,0,187,2
384,0,2,1,39,0,0,40,2
385,0,1,1,23,0,0,208,2
386,0,2,1,5,5,2,179,2
387,1,1,0,49,0,0,85,2
388,0,2,1,39,0,0,26,1
389,1,1,0,22,0,0,77,0
390,1,0,1,49,1,2,232,2
391,1,2,1,27,0,0,33,2
392,0,2,1,36,2,0,41,2
393,1,0,0,29,1,0,231,0
394,1,2,0,31,0,2,110,2
395,0,2,1,28,0,0,33,2
396,0,2,0,42,0,0,36,2
397,0,1,1,62,0,0,138,2
398,0,1,1,29,0,0,72,2
399,1,1,0,36,0,0,83,2
400,1,2,1,53,0,0,41,2
401,0,2,1,34,0,0,43,2
402,0,2,0,27,1,0,66,2
403,0,2,1,36,1,0,106,2
404,0,2,0,25,0,0,54,2
405,0,1,1,46,1,0,123,2
406,0,2,1,67,0,0,30,2
407,1,1,1,7,1,1,114,2
408,0,2,1,27,0,0,31,2
409,0,2,0,39,3,1,134,2
410,0,2,1,39,0,0,40,2
411,0,2,1,39,0,0,8,1
412,1,0,0,45,1,0,225,1
413,0,1,1,39,0,0,0,2
414,1,2,1,59,0,0,41,2
415,0,2,0,39,0,0,43,2
416,1,1,0,46,1,1,161,2
417,1,1,0,23,0,2,85,2
418,0,1,1,40,0,0,85,2
419,0,2,0,14,0,2,133,2
420,0,2,1,39,0,0,40,0
421,0,2,1,27,0,0,27,1
422,0,2,1,38,0,0,37,2
423,0,2,0,36,1,1,93,2
424,0,2,1,23,1,1,119,2
425,0,2,1,39,0,0,18,2
426,1,1,0,36,1,0,138,2
427,1,1,0,24,0,0,138,2
428,0,2,1,39,0,0,30,1
429,1,2,1,43,0,0,43,2
430,1,0,1,36,0,0,143,2
431,1,2,0,39,1,0,109,2
432,1,1,0,57,1,0,138,2
433,0,2,1,22,0,0,14,2
434,0,0,1,66,1,0,192,2
435,1,0,0,18,1,2,232,2
436,0,2,0,27,2,2,165,2
437,1,1,0,31,2,3,114,2
438,0,0,1,81,1,4,246,2
439,0,1,1,42,0,0,72,2
440,1,1,0,60,1,1,139,2
441,0,2,1,25,0,0,64,2
442,0,2,1,33,1,0,31,2
443,1,1,0,36,0,0,85,2
444,1,2,1,39,0,0,44,2
445,1,0,1,8,0,2,219,2
446,1,1,0,17,0,1,117,2
447,1,0,1,46,0,0,143,2
448,1,2,0,9,2,1,116,0
449,1,0,1,68,0,0,155,2
450,0,1,1,49,1,2,146,2
451,0,2,1,39,1,0,118,2
452,0,0,1,40,0,0,146,0
453,1,0,1,65,1,0,224,0
454,0,2,1,39,0,0,43,2
455,1,2,1,38,0,0,40,0
456,0,0,1,82,0,0,143,2
457,1,0,0,39,1,0,186,2
458,1,1,0,66,0,0,72,2
459,0,2,1,39,0,0,30,1
460,1,0,1,64,0,0,143,2
461,0,2,1,46,0,0,43,2
462,0,0,1,63,0,0,171,2
463,0,1,1,64,0,0,85,2
464,0,2,1,39,0,0,43,2
465,0,2,1,52,0,0,12,2
466,0,1,1,39,0,0,0,2
467,0,0,1,73,0,0,143,2
468,0,2,1,39,0,0,25,1
469,1,2,0,2,2,1,116,0
470,0,2,1,39,0,0,18,2
471,0,2,1,52,0,0,54,2
472,1,1,0,45,1,2,146,2
473,1,1,0,29,0,0,88,0
474,0,2,0,28,0,0,67,2
475,0,0,1,39,0,0,187,2
476,0,1,1,46,1,0,123,2
477,0,2,1,38,1,0,11,2
478,0,2,1,28,0,0,21,2
479,1,2,0,6,0,1,79,2
480,0,2,1,13,5,2,179,2
481,0,1,1,39,0,0,0,2
482,0,2,1,66,0,0,43,2
483,1,2,0,80,0,0,65,2
484,1,0,1,33,1,0,226,0
485,0,2,0,39,3,1,134,2
486,1,0,0,48,1,0,225,2
487,0,0,1,75,0,0,152,0
488,0,2,1,40,0,0,43,2
489,1,2,1,13,1,1,107,2
490,0,2,1,39,1,0,118,2
491,0,2,1,27,0,0,18,2
492,0,0,1,71,0,0,155,2
493,0,0,1,86,0,0,182,0
494,0,2,1,27,0,0,43,2
495,0,2,1,39,0,0,95,0
496,1,0,0,70,1,0,214,0
497,0,2,1,39,0,0,100,2
498,0,0,0,33,1,2,237,2
499,0,2,1,31,0,0,33,2
500,0,2,1,22,0,0,54,2
501,0,2,0,27,0,0,30,1
502,0,2,0,39,0,0,23,1
503,0,2,0,51,0,0,65,2
504,1,0,0,21,0,0,223,2
505,0,0,1,23,1,0,229,0
506,1,1,0,45,0,2,138,2
507,1,0,1,39,0,0,143,2
508,0,2,1,36,0,0,128,2
509,1,2,1,34,0,0,193,2
510,1,2,1,38,0,0,30,1
511,0,2,1,39,0,0,43,2
512,1,0,1,49,0,0,141,2
513,1,0,0,70,1,0,197,0
514,0,2,1,31,0,0,20,2
515,0,0,1,63,0,0,164,2
516,1,1,0,46,0,0,72,2
517,0,2,1,39,0,0,133,1
518,1,1,0,49,1,0,138,2
519,0,2,1,43,0,0,40,2
520,1,0,0,40,0,0,227,2
521,0,2,1,28,0,0,40,2
522,0,2,1,39,0,0,16,0
523,1,0,0,59,0,1,196,0
524,0,2,1,39,0,0,17,0
525,0,2,1,55,0,0,30,1
526,1,1,0,66,0,0,72,2
527,0,0,1,39,0,0,242,2
528,0,2,1,53,0,0,41,2
529,0,1,1,29,2,1,76,2
530,1,1,0,6,1,1,138,2
531,0,2,1,39,0,0,17,0
532,0,2,1,22,1,1,17,0
533,1,2,0,39,0,2,127,0
534,0,2,0,40,0,0,54,2
535,1,1,0,11,0,2,139,2
536,0,0,1,60,0,0,143,2
537,1,0,0,40,0,0,228,0
538,0,2,1,39,0,0,96,2
539,1,0,0,28,0,2,181,0
540,1,0,0,49,0,2,206,2
541,0,2,0,13,4,2,158,2
542,0,2,0,15,4,2,158,2
543,1,1,1,43,1,0,138,2
544,0,0,1,66,1,0,228,0
545,0,0,1,81,0,0,138,2
546,1,1,0,24,1,0,138,2
547,1,1,1,39,0,0,90,0
548,0,2,1,45,1,1,121,2
549,1,1,1,12,1,1,169,2
550,1,0,1,22,0,2,230,0
551,0,1,1,35,0,0,138,2
552,0,2,1,39,0,0,35,1
553,1,2,1,28,0,0,16,0
554,1,2,0,28,0,0,31,2
555,0,0,1,79,0,0,143,2
556,1,0,0,64,1,0,174,0
557,0,0,1,39,0,0,243,0
558,1,0,0,53,1,1,217,2
559,1,2,0,49,1,0,111,2
560,0,2,1,39,0,0,30,1
561,0,2,1,54,0,0,40,2
562,0,1,1,36,0,0,87,2
563,0,2,1,39,0,0,43,2
564,0,2,0,39,0,0,43,2
565,0,2,1,31,2,0,133,2
566,0,2,1,24,0,0,40,2
567,0,2,0,38,0,4,124,2
568,0,2,1,39,0,0,17,0
569,1,2,1,43,0,0,36,2
570,1,1,1,79,0,0,72,2
571,1,0,0,69,2,0,185,2
572,1,0,1,49,0,0,142,2
573,1,2,0,39,0,0,30,1
574,0,2,1,21,0,0,43,2
575,0,2,1,24,0,0,96,2
576,1,1,0,46,0,0,85,2
577,1,0,0,53,1,0,192,2
578,0,2,0,39,1,0,95,0
579,1,2,1,43,0,0,41,2
580,1,1,0,33,1,1,153,2
581,1,0,0,53,1,1,230,0
582,0,1,1,70,0,0,138,2
583,0,0,1,49,0,0,176,0
584,0,2,1,39,0,0,56,0
585,1,0,0,23,0,2,217,2
586,0,1,1,63,0,0,97,2
587,1,0,1,77,1,1,216,0
588,0,2,1,28,0,0,43,2
589,0,2,1,39,0,0,43,2
590,0,2,1,48,0,0,14,2
591,1,0,0,68,1,0,214,0
592,0,2,1,63,0,0,18,2
593,0,2,0,39,0,2,30,1
594,0,1,1,51,1,0,138,2
595,0,2,1,49,1,1,133,2
596,1,1,0,39,0,0,162,2
597,0,2,1,65,0,0,0,2
598,0,2,1,39,0,0,16,0
599,1,0,1,65,1,0,194,0
600,1,1,0,31,2,1,144,2
601,0,2,1,39,0,0,40,2
602,0,0,1,39,0,0,178,2
603,0,2,1,59,0,0,43,2
604,1,0,1,48,0,0,143,0
605,0,2,1,49,1,0,103,2
606,0,2,1,40,0,0,40,2
607,1,0,1,35,0,0,155,2
608,1,1,0,28,1,2,177,0
609,1,0,0,54,0,0,238,2
610,0,2,0,53,1,5,158,2
611,0,2,1,39,0,0,12,2
612,1,2,0,39,1,0,102,1
613,0,2,1,39,0,0,30,1
614,0,2,1,48,0,0,43,2
615,1,1,0,31,1,2,202,2
616,0,2,1,46,1,1,93,2
617,0,2,0,34,1,0,109,2
618,1,1,0,8,2,1,172,2
619,0,1,1,34,0,0,72,2
620,0,2,1,35,1,0,94,0
621,1,0,1,57,1,0,188,2
622,1,2,1,25,1,1,104,0
623,0,2,1,27,0,0,36,2
624,0,2,1,27,0,0,109,2
625,0,0,1,78,0,0,160,2
626,0,1,1,74,0,0,80,1
627,1,0,0,27,0,0,213,2
628,0,2,1,34,0,0,40,2
629,0,2,1,39,0,0,27,1
630,1,0,1,88,0,0,153,2
631,0,2,1,67,0,0,13,2
632,1,0,1,43,0,0,155,0
633,0,0,1,39,0,0,0,2
634,0,2,0,13,3,2,147,2
635,1,1,0,36,0,0,85,2
636,0,2,1,43,0,0,41,2
637,0,1,1,42,1,1,139,2
638,0,2,0,56,0,5,175,2
639,0,2,1,39,1,0,109,2
640,0,2,1,25,0,0,36,2
641,1,0,0,31,0,0,204,0
642,0,2,0,6,3,2,147,2
643,1,2,1,39,0,0,193,2
644,1,2,0,2,2,1,116,0
645,1,0,1,64,1,0,211,0
646,0,2,1,24,0,0,40,2
647,1,0,1,73,0,0,168,0
648,0,2,1,39,0,0,22,2
649,1,2,0,29,0,0,22,2
650,0,2,1,39,0,0,40,2
651,1,1,0,23,0,1,129,2
652,0,2,1,27,0,0,50,2
653,1,2,0,39,0,0,35,1
654,0,2,0,23,0,0,7,1
655,0,1,1,31,2,0,208,2
656,0,2,1,39,0,0,40,2
657,0,2,0,43,1,1,102,1
658,0,1,1,29,0,0,85,2
659,0,0,1,75,0,2,231,0
660,1,0,1,66,2,0,233,2
661,0,2,1,54,0,0,16,0
662,0,0,1,63,0,0,135,2
663,0,2,1,49,0,0,20,2
664,1,2,1,25,1,0,41,2
665,0,1,1,43,2,0,208,2
666,0,1,1,33,0,0,85,2
667,0,2,1,39,0,0,31,2
668,0,2,1,58,0,0,43,2
669,1,0,0,39,1,0,187,2
670,1,1,0,54,1,1,172,2
671,0,0,1,42,1,0,187,2
672,0,1,1,84,0,0,72,2
673,1,1,1,42,0,0,85,2
674,0,1,1,39,0,0,0,2
675,0,2,1,23,0,0,31,2
676,0,2,1,32,0,0,43,2
677,1,2,0,23,0,0,68,2
678,0,2,0,58,1,6,179,2
679,1,0,1,49,0,1,247,0
680,0,2,0,39,0,0,45,1
681,1,0,1,35,0,0,211,0
682,0,2,1,25,0,0,60,2
683,0,2,1,18,5,2,179,2
684,0,1,1,77,1,1,172,2
685,0,1,1,33,1,2,177,0
686,0,2,1,18,4,1,175,2
687,0,2,1,24,0,0,70,2
688,0,2,1,23,0,0,33,2
689,1,0,0,20,0,1,240,2
690,1,0,1,42,1,0,195,2
691,1,2,0,8,0,1,86,0
692,1,2,1,39,0,0,193,2
693,0,2,1,33,0,0,16,0
694,0,0,1,77,0,0,143,2
695,0,1,1,68,0,0,87,2
696,0,2,1,59,0,0,43,2
697,1,2,0,39,0,0,27,1
698,0,0,1,65,1,1,230,0
699,0,2,1,57,0,0,24,2
700,1,0,0,23,1,0,243,0
701,1,0,1,48,0,0,141,2
702,0,2,0,23,0,1,94,0
703,0,2,1,33,0,0,29,1
704,0,2,1,34,1,0,36,2
705,0,1,1,53,0,0,138,2
706,1,1,0,60,0,0,87,2
707,1,0,1,57,0,0,141,2
708,1,0,0,28,0,0,237,2
709,1,2,1,39,1,1,101,0
710,1,0,0,31,0,0,182,0
711,0,0,1,39,0,0,143,2
712,1,0,1,64,1,0,187,2
713,0,2,1,38,0,0,63,2
714,0,1,1,68,0,0,85,2
715,0,2,1,24,0,0,24,2
716,1,0,0,52,0,0,243,0
717,1,1,0,35,0,0,72,2
718,0,2,1,39,0,0,102,1
719,0,2,1,45,0,0,31,2
720,1,1,0,10,0,1,162,2
721,0,2,1,22,1,0,13,2
722,0,1,1,46,0,0,85,2
723,0,1,1,66,0,0,85,2
724,1,0,1,35,1,0,189,2
725,0,2,1,25,0,0,54,2
726,1,1,0,40,3,0,123,2
727,1,2,0,39,0,0,28,1
728,0,1,1,33,1,0,138,2
729,0,2,0,33,1,0,41,2
730,1,0,0,38,0,0,240,2
731,0,2,1,15,0,0,115,0
732,0,1,1,39,0,0,0,2
733,0,1,1,29,0,0,85,2
734,0,1,1,29,0,0,85,2
735,0,2,1,37,0,0,109,2
736,0,2,0,64,1,3,165,2
737,1,0,1,48,0,0,247,0
738,0,2,1,39,0,0,40,2
739,0,2,1,39,0,0,40,2
740,1,0,1,39,0,0,153,2
741,0,0,1,49,1,0,215,2
742,1,0,0,27,2,2,245,0
743,0,2,1,31,1,0,109,2
744,1,2,1,42,0,0,41,2
745,0,0,1,84,1,1,206,2
746,0,2,1,21,1,1,120,2
747,1,1,0,40,0,0,85,2
748,0,0,1,24,1,0,189,2
749,0,2,1,42,0,0,30,1
750,1,1,0,8,1,1,129,2
751,1,2,1,10,0,1,81,2
752,0,2,1,45,0,0,64,2
753,0,2,1,29,0,0,40,2
754,1,1,0,64,1,2,202,2
755,1,1,1,1,1,1,96,2
756,0,2,1,36,0,0,33,2
757,0,1,1,23,0,0,76,2
758,0,2,1,46,0,0,43,2
759,1,0,0,45,0,0,223,2
760,0,2,1,39,0,0,96,2
761,0,2,1,56,0,0,14,2
762,1,2,1,25,0,0,17,0
763,1,0,0,49,1,2,232,2
764,0,2,1,21,0,0,31,2
765,1,0,0,67,1,0,213,2
766,0,0,1,39,0,0,174,0
767,0,2,0,41,0,0,30,1
768,0,2,1,39,1,0,133,1
769,0,2,1,43,0,0,48,2
770,0,2,1,31,0,0,64,2
771,0,2,1,64,0,0,36,2
772,0,1,0,74,0,0,72,2
